Sketch1,Sketch2,Trial #,Method,Acc,Gamma Pick Rate,ypred +ve Count
1,2,1,kh_hyperparam,0.84375,[0.51041667 0.21875    0.0625     0.20833333],49
1,2,2,kh_hyperparam,0.8125,[0.46875    0.28125    0.17708333 0.07291667],44
1,2,3,kh_hyperparam,0.822916667,[0.22916667 0.36458333 0.21875    0.1875    ],49
1,2,4,kh_hyperparam,0.802083333,[0.23958333 0.20833333 0.26041667 0.29166667],39
1,2,5,kh_hyperparam,0.822916667,[0.23958333 0.19791667 0.32291667 0.23958333],47
2,1,1,kh_hyperparam,0.90625,[0.29166667 0.07291667 0.59375    0.04166667],45
2,1,2,kh_hyperparam,0.854166667,[0.46875    0.14583333 0.30208333 0.08333333],48
2,1,3,kh_hyperparam,0.864583333,[0.35416667 0.15625    0.39583333 0.09375   ],47
2,1,4,kh_hyperparam,0.864583333,[0.27083333 0.19791667 0.40625    0.125     ],43
2,1,5,kh_hyperparam,0.885416667,[0.41666667 0.25       0.22916667 0.10416667],45
2,3,1,kh_hyperparam,0.864583333,[0.53125    0.28125    0.08333333 0.10416667],45
2,3,2,kh_hyperparam,0.84375,[0.45833333 0.26041667 0.17708333 0.10416667],47
1,3,1,kh_hyperparam,0.84375,[0.42708333 0.19791667 0.25       0.125     ],51
1,3,2,kh_hyperparam,0.833333333,[0.32291667 0.05208333 0.4375     0.1875    ],52
1,3,3,kh_hyperparam,0.854166667,[0.33333333 0.17708333 0.34375    0.14583333],48
2,3,1,kh_hyperparam,0.875,[0.52083333 0.08333333 0.21875    0.17708333],44
2,3,2,kh_hyperparam,0.8125,[0.64583333 0.19791667 0.125      0.03125   ],44
2,3,3,kh_hyperparam,0.885416667,[0.67708333 0.13541667 0.125      0.0625    ],43
2,3,4,kh_hyperparam,0.864583333,[0.46875    0.27083333 0.22916667 0.03125   ],51
2,3,5,kh_hyperparam,0.864583333,[0.47916667 0.3125     0.125      0.08333333],43
3,1,1,kh_hyperparam,0.84375,[0.39583333 0.21875    0.34375    0.04166667],45
3,1,2,kh_hyperparam,0.854166667,[0.375      0.28125    0.29166667 0.05208333],44
3,1,3,kh_hyperparam,0.833333333,[0.40625    0.23958333 0.29166667 0.0625    ],44
3,1,4,kh_hyperparam,0.84375,[0.45833333 0.16666667 0.29166667 0.08333333],47
3,1,5,kh_hyperparam,0.927083333,[0.5    0.1875 0.25   0.0625],47
3,2,1,kh_hyperparam,0.864583333,[0.29166667 0.30208333 0.26041667 0.14583333],47
3,2,2,kh_hyperparam,0.885416667,[0.35416667 0.19791667 0.22916667 0.21875   ],45
3,2,3,kh_hyperparam,0.8125,[0.36458333 0.16666667 0.3125     0.15625   ],46
3,2,4,kh_hyperparam,0.864583333,[0.36458333 0.13541667 0.3125     0.1875    ],47
3,2,5,kh_hyperparam,0.833333333,[0.36458333 0.1875     0.21875    0.22916667],48
